,Country,Activity,Year
3086,USA,Surfing,1979
3100,USA,Swimming,1979
3102,USA,Surfing,1979
3110,USA,Surfing,1978
3111,USA,Surfing,1978
3120,USA,Surfing,1978
3131,USA,Surfing,1978
3134,USA,Surfing,1977
3150,USA,Swimming,1977
3163,USA,Surfing,1976
3167,USA,Surfing,1976
3172,USA,Swimming,1976
3174,USA,Surfing,1976
3176,USA,Surfing,1976
3182,USA,Swimming,1976
3204,USA,Surfing,1975
3207,USA,Surfing,1975
3219,USA,Swimming,1975
3221,USA,Surfing,1975
3225,USA,Surfing,1975
3227,USA,Surfing,1975
3249,USA,Surfing,1974
3255,USA,Surfing,1974
3261,USA,Surfing,1974
3263,USA,Swimming,1974
3265,USA,Swimming,1974
3270,USA,Swimming,1974
3288,USA,Swimming,1973
3291,USA,Surfing,1973
3308,USA,Surfing,1973
3322,USA,Surfing,1972
3324,USA,Surfing,1972
3326,USA,Surfing,1972
3332,USA,Surfing,1972
3352,USA,Surfing,1971
3355,USA,Surfing,1971
3380,USA,Surfing,1970
3385,USA,Swimming,1970
3423,USA,Surfing,1969
3439,USA,Surfing,1969
3457,USA,Surfing,1968
3480,USA,Surfing,1968
3482,USA,Surfing,1968
3491,USA,Surfing,1968
3523,USA,Surfing,1967
3575,USA,Swimming,1966
3582,USA,Swimming,1966
3596,USA,Swimming,1966
3614,USA,Swimming,1965
3629,USA,Surfing,1965
3643,USA,Surfing,1965
3664,USA,Swimming,1964
3667,USA,Swimming,1964
3750,USA,Swimming,1963
3753,USA,Swimming,1963
3872,USA,Swimming,1961
3882,USA,Swimming,1961
3988,USA,Swimming,1960
4103,USA,Swimming,1959
4194,USA,Swimming,1957
4200,USA,Swimming,1957
4249,USA,Swimming,1956
4269,USA,Swimming,1956
4284,USA,Surfing,1955
4313,USA,Swimming,1955
4325,USA,Swimming,1954
4379,USA,Swimming,1953
4398,USA,Swimming,1952
4422,USA,Swimming,1952
4469,USA,Swimming,1950
4537,USA,Swimming,1948
4545,USA,Swimming,1948
4570,USA,Swimming,1947
4624,USA,Swimming,1945
4641,USA,Swimming,1944
4811,USA,Swimming,1938
4849,USA,Swimming,1937
4868,USA,Swimming,1936
4879,USA,Swimming,1936
4895,USA,Swimming,1935
4937,USA,Swimming,1934
4958,USA,Swimming,1933
4968,USA,Swimming,1933
4994,USA,Swimming,1932
5003,USA,Swimming,1931
5011,USA,Swimming,1931
5012,USA,Swimming,1931
5015,USA,Swimming,1931
5039,USA,Swimming,1930
5041,USA,Swimming,1930
5077,USA,Swimming,1929
5103,USA,Swimming,1928
5115,USA,Swimming,1928
5135,USA,Swimming,1927
5145,USA,Swimming,1926
5150,USA,Swimming,1926
5152,USA,Swimming,1926
5165,USA,Swimming,1925
5171,USA,Swimming,1925
5267,USA,Swimming,1919
5276,USA,Swimming,1919
5302,USA,Swimming,1916
5304,USA,Swimming,1916
5310,USA,Swimming,1916
5311,USA,Swimming,1916
5312,USA,Swimming,1916
5333,USA,Swimming,1914
5341,USA,Swimming,1914
5367,USA,Swimming,1912
5368,USA,Swimming,1912
5394,USA,Swimming,1911
5417,USA,Swimming,1909
5466,USA,Swimming,1906
5475,USA,Swimming,1906
5496,USA,Swimming,1905
5508,USA,Swimming,1904
5516,USA,Swimming,1904
5534,USA,Swimming,1902
5571,USA,Swimming,1899
5589,USA,Swimming,1898
5633,USA,Swimming,1895
5649,USA,Swimming,1894
5653,USA,Swimming,1894
5716,USA,Swimming,1889
5809,USA,Swimming,1881
5843,USA,Swimming,1878
5844,USA,Swimming,1878
5941,USA,Swimming,1864
5982,USA,Swimming,1860
5988,USA,Swimming,1858
5989,USA,Swimming,1858
5992,USA,Swimming,1858
5994,USA,Swimming,1857
6008,USA,Swimming,1853
6018,USA,Swimming,1852
6025,USA,Swimming,1851
6036,USA,Swimming,1848
6046,USA,Swimming,1847
6061,USA,Swimming,1842
6097,USA,Surfing,1828
6112,USA,Swimming,1817
6116,USA,Swimming,1816
6142,USA,Swimming,1780
6143,USA,Surfing,1779
6151,USA,Swimming,1751
6187,USA,Swimming,2009
6201,USA,Surfing,1994
6288,USA,Swimming,1916
6299,USA,Swimming,1900
